sessionCount,sessionName,method,r2_x,r2_y,r2_weighted,n_run
6,indy_20160420_01,TTS,0.7689663936235241,0.7452830052084964,0.7564530729111364,4
6,indy_20160420_01,None,0.7692241395805814,0.7242319112240656,0.7454521111392101,0
6,indy_20160420_01,None,0.7730517437262342,0.7668498196514467,0.7697749041278735,1
6,indy_20160420_01,None,0.7820375107668855,0.7610277150477436,0.7709368056089793,2
6,indy_20160420_01,None,0.7820219909636822,0.7703516704750457,0.7758558773767424,3
6,indy_20160420_01,None,0.7666882227042036,0.7614149314443669,0.7639020341914855,4
7,indy_20160426_01,TTS,0.774424316502862,0.7413106397567477,0.7607079191267296,0
7,indy_20160426_01,TTS,0.7759137148692473,0.7164595973441212,0.7512865401862787,1
7,indy_20160426_01,TTS,0.7714315708077895,0.739740842485247,0.7583045892846021,2
7,indy_20160426_01,TTS,0.7643676896407189,0.7478966421617367,0.757545027386839,3
7,indy_20160426_01,TTS,0.7649547645491775,0.7422872137958585,0.755565377316223,4
7,indy_20160426_01,None,0.7841408870799084,0.7471713692187549,0.7688273173523453,0
7,indy_20160426_01,None,0.7723282726998569,0.7462842582748117,0.7615402815666905,1
7,indy_20160426_01,None,0.7678180784619114,0.7531616976757026,0.7617470901962202,2
7,indy_20160426_01,None,0.7920769407088097,0.7270412149691157,0.7651377438104929,3
7,indy_20160426_01,None,0.7896216459559476,0.7400024465730977,0.7690683059738344,4
8,indy_20160622_01,TTS,0.6771358794632945,0.6010668868567048,0.6430088503049998,0
8,indy_20160622_01,TTS,0.6281551026659624,0.537393191742641,0.5874363515111815,1
8,indy_20160622_01,TTS,0.6459117844413773,0.6205020508846458,0.6345121498691167,2
8,indy_20160622_01,TTS,0.6815558965023952,0.5686501492512748,0.6309026987072621,3
8,indy_20160622_01,TTS,0.6801558364070392,0.5379095693548752,0.6163395252268224,4
8,indy_20160622_01,None,0.6616887504118053,0.6208292604374678,0.6433578516057847,0
8,indy_20160622_01,None,0.6780968731286026,0.6359447807733644,0.6591860707688287,1
8,indy_20160622_01,None,0.6915292907427782,0.6123028815709208,0.6559857416136586,2
8,indy_20160622_01,None,0.6881901928790907,0.6230447744899219,0.6589638351120776,3
8,indy_20160622_01,None,0.6949538962315602,0.629468742726749,0.6655751222197643,4
9,indy_20160624_03,TTS,0.6840857312900651,0.7753974287736346,0.7250035143359862,0
9,indy_20160624_03,TTS,0.7018207605990195,0.7894799834462076,0.7411018293041624,1
9,indy_20160624_03,TTS,0.6979226545866737,0.7824817761595406,0.7358145335728771,2
9,indy_20160624_03,TTS,0.7161408278653698,0.7738069576474806,0.7419816593529998,3
9,indy_20160624_03,TTS,0.6992023851659143,0.787908369380687,0.738952519234204,4
9,indy_20160624_03,None,0.7103733924913919,0.7863006439544254,0.7443972348714606,0
9,indy_20160624_03,None,0.7072945978509534,0.7784135446362819,0.7391637856463082,1
9,indy_20160624_03,None,0.6977791028176914,0.7650196531123576,0.7279103381869667,2
9,indy_20160624_03,None,0.6981050592122366,0.7747718178031024,0.7324602829273528,3
9,indy_20160624_03,None,0.709909629806378,0.7791678368905214,0.7409449995313618,4
10,indy_20160627_01,TTS,0.677865630661503,0.8097577364914599,0.748686503455202,0
10,indy_20160627_01,TTS,0.6522672753895966,0.8154056377228863,0.7398661588396342,1
10,indy_20160627_01,TTS,0.6397182255283472,0.7950436999839875,0.7231218955116442,2
10,indy_20160627_01,TTS,0.6653355663405116,0.8038771156138425,0.7397269287043692,3
